"subject","STIM","trial","keyboard","choice","count_correct","filename","gender","correct","MEL","RYT","Forfra","Bagfra","Rangordning","met_total","wm_total"
2,"C4PS","   40",33333,"C4PS",32,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   41",33333,"C4PS",33,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   42",12343,"B3",34,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   43",44321,"C2PH",35,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   44",51534,"B2",36,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   45",44321,"C2PH",37,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   46",15254,"B4",38,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   47",12343,"B3",39,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   21",44321,"C2PH",15,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   22",15254,"B2",15,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"B2","   23",51534,"B2",16,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   24",51534,"B2",17,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   25",12343,"B3",18,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   26",44321,"C2PH",19,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   27",33333,"C4PS",20,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   28",15254,"B4",21,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   20",33333,"C4PS",14,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   18",51534,"B4",12,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"B3","   19",12343,"B3",13,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
3,"B4","   28",12343,"B2",11,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   27",21353,"C4PS",11,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   19",22222,"B3",7,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C4PS","   20",21353,"C2PH",7,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   21",15143,"C2PH",8,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   22",12343,"C4PS",8,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B2","   23",54421,"B2",9,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   24",54421,"B2",10,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   25",22222,"C4PS",10,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   26",15143,"C4PS",10,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B2","   0",54421,"B2",1,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   1",12343,"B3",1,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B4","   2",12343,"C2PH",1,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B3","   3",22222,"C4PS",1,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   4",15143,"C4PS",1,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   5",21353,"B4",1,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B3","   6",22222,"C2PH",1,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   7",15143,"C2PH",2,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   8",54421,"B4",2,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   9",21353,"B4",2,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   10",21353,"C4PS",3,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   11",54421,"B3",3,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   12",21353,"B3",3,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   13",15143,"C2PH",4,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   14",22222,"B3",5,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C2PH","   15",15143,"C2PH",6,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   16",12343,"C4PS",6,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B4","   17",12343,"C2PH",6,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B2","   18",54421,"C4PS",6,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B3","   57",22222,"B3",30,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   58",12343,"B4",31,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C2PH","   59",15143,"C4PS",31,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   60",15143,"C2PH",32,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   61",54421,"C4PS",32,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   62",21353,"C4PS",33,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   63",54421,"B2",34,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   64",12343,"B4",35,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   65",22222,"B3",36,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   66",22222,"B3",37,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   67",12343,"B4",38,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C4PS","   68",21353,"C4PS",39,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   29",22222,"B3",12,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   30",12343,"B4",13,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   31",54421,"C4PS",13,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B4","   32",12343,"B4",14,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C4PS","   33",21353,"C4PS",15,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C2PH","   34",15143,"C4PS",15,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   35",21353,"B4",15,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   36",15143,"C2PH",16,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   37",54421,"B2",17,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   38",22222,"B3",18,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   39",22222,"B3",19,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C4PS","   40",21353,"C2PH",19,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C4PS","   41",21353,"C2PH",19,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B3","   42",22222,"B3",20,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C2PH","   43",15143,"C2PH",21,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   44",54421,"B4",21,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   45",15143,"C4PS",21,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B4","   46",12343,"B4",22,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B3","   47",22222,"B3",23,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   48",54421,"B2",24,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   49",12343,"B4",25,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C2PH","   50",15143,"C4PS",25,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B2","   51",54421,"B2",26,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B2","   52",54421,"B2",27,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"B4","   53",12343,"B4",28,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C4PS","   54",21353,"C2PH",28,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"B3","   55",22222,"B3",29,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
3,"C4PS","   56",21353,"C2PH",29,"3 jiaqi-dkgirl ","girl",0,14,10,4,11,7,24,22
3,"C2PH","   69",15143,"C2PH",40,"3 jiaqi-dkgirl ","girl",1,14,10,4,11,7,24,22
4,"B4","   30",22222,"B4",19,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B2","   31",12343,"B2",20,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B4","   32",22222,"B4",21,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
4,"B3","   29",21353,"B3",18,"4 xingyu-dkboy ","boy",1,16,18,8,8,7,34,23
